quantity,purchased,totalPrice,date,productId,orderId
5,TRUE,1381,2020-07-11 21:26:20,323,1
4,TRUE,310,2020-12-05 20:02:19,210,1
10,TRUE,4942,2020-02-20 17:45:26,86,1
10,TRUE,863,2020-03-20 10:55:05,391,2
3,TRUE,7348,2020-06-01 18:59:47,257,2
8,TRUE,7860,2020-11-07 03:15:50,343,2
3,TRUE,5082,2020-10-08 21:36:18,40,2
4,TRUE,8568,2020-12-27 04:09:30,164,2
10,TRUE,3295,2020-01-19 07:19:55,105,2
8,TRUE,1114,2020-08-12 18:18:05,264,3
6,TRUE,7545,2020-05-09 01:48:03,214,3
3,TRUE,9591,2020-03-06 05:26:13,15,4
7,TRUE,497,2020-09-14 02:19:12,324,5
8,TRUE,9797,2020-03-19 05:15:43,42,5
10,TRUE,3675,2020-11-15 11:36:56,220,5
6,TRUE,3183,2020-08-18 08:29:35,219,5
1,TRUE,9816,2020-03-11 07:18:24,204,5
2,TRUE,1326,2020-01-19 16:31:56,239,6
1,TRUE,6588,2020-07-31 07:43:22,78,7
6,TRUE,8085,2020-10-31 09:47:14,432,7
8,TRUE,8956,2020-09-10 04:36:35,187,8
3,TRUE,8994,2020-07-26 12:54:27,227,8
1,TRUE,6743,2020-12-02 22:50:11,341,8
2,TRUE,4151,2020-09-29 21:34:32,307,9
6,TRUE,9679,2020-02-07 00:58:11,427,10
5,TRUE,4955,2020-06-10 01:39:31,270,10
5,TRUE,1495,2020-07-19 15:44:19,360,11
1,TRUE,5707,2020-04-03 08:02:50,39,11
1,TRUE,3059,2020-02-24 15:42:54,110,12
2,TRUE,6903,2020-06-30 03:11:06,117,12
10,TRUE,3107,2020-12-06 06:41:10,124,12
10,TRUE,435,2020-04-06 03:13:53,373,12
3,TRUE,3492,2020-12-25 06:26:47,413,12
1,TRUE,3705,2020-01-29 14:45:42,447,12
6,TRUE,5437,2020-05-27 21:25:50,297,13
5,TRUE,6264,2020-09-07 22:36:28,13,13
6,TRUE,8271,2020-12-15 14:21:01,376,13
5,TRUE,5596,2020-11-11 02:54:32,410,13
6,TRUE,7785,2020-11-22 23:13:43,56,14
1,TRUE,4870,2020-04-12 02:58:37,291,14
3,TRUE,2582,2020-06-29 14:10:45,164,14
6,TRUE,8137,2020-06-09 02:03:17,286,14
5,TRUE,7763,2020-12-03 06:16:35,49,14
6,TRUE,3876,2020-02-21 01:11:19,452,15
9,TRUE,2227,2020-04-30 00:29:49,51,15
3,TRUE,8393,2020-02-11 05:35:02,209,15
9,TRUE,7255,2020-07-26 21:29:57,104,15
6,TRUE,2771,2020-12-04 10:19:51,213,15
6,TRUE,5832,2020-05-09 22:15:58,215,15
10,TRUE,4980,2020-08-01 20:07:51,422,15
1,TRUE,1835,2020-06-10 11:16:57,360,15
1,TRUE,9179,2020-08-08 05:22:47,301,15
3,TRUE,8198,2020-07-01 11:35:32,273,15
7,TRUE,1884,2020-08-17 16:33:39,397,16
2,TRUE,4760,2020-06-26 07:16:17,63,16
7,TRUE,2498,2020-06-21 04:13:29,18,16
7,TRUE,647,2020-02-08 03:26:10,253,16
4,TRUE,9415,2020-12-12 18:49:50,393,17
6,TRUE,1881,2020-03-06 02:05:53,447,17
1,TRUE,1963,2020-11-11 07:51:23,2,17
1,TRUE,5637,2020-08-28 09:18:54,173,17
4,TRUE,7067,2020-07-31 13:31:16,248,18
1,TRUE,705,2020-06-24 01:51:12,177,18
